"name","wardnum","title","adminward","ER_A","ER_B","voters","male_voters","female_voters","total_polling_buildings","total_polling_stations","PB.building","PB.SRA","PB.road","PB.electrical","PB.drainage","PB.water","PB.total","areas"
"Ward 51",51,"Tilak Smarak Mandir","Kasba Vishrambagwada","Dhanjay Jadhav (BJP)","Manisha Ghate (BJP)",27480,13907,13573,10,32,2240000,560000,960000,0,240000,0,4000000,"New English School, DnyanPrabodhini, Sahitya Parishad, State Council of Education and Training, Bhave Highschool, Maharashtra Mandal, Tilak Smarak Madir, S.P. College, Vijayanagar, Nilayam Talkies, Abhinav College, Ambil Canal Slums, Dandekar Bridge, Lokm"
"Ward 52",52,"Vaikunth Smashanbhoomi","Tilak Road","Vinayak Hanamghar (NCP)","Manisha Bodake (NCP)",34703,17777,16926,14,41,800000,1200000,1200000,800000,0,0,4000000,"Alka Talkies, Poona Hospital, Patrakar Bhavan, Vaikunth Smashanbhumi, Indulal Complex, Anandbaug Housing Society, Sachin Tendulkar Jogging Track, Rajendra Nagar, Kalashri, Dandekar Bridge Slums, Rakshalekha Society, Dattwadi etc."
"Ward 53",53,"PL Deshpande Udyan","Tilak Road","Manjusha Nagpure (BJP)","Shrikant Jagtap (BJP)",36272,18803,17469,10,45,1040000,800000,800000,960000,0,400000,4000000,"Hingane Khurd, Anand Nagar, Swarnagari Society, Mohite Township, Vitthalwadi, Jaidev Nagar, Varshanand Society, P. L. Deshpande Garden, SaritaVaibhav Society, Pachgaon Parvati, Vitthalwadi Purification centre etc"
"Ward 54",54,"Suncity Wadgaon Budruk","Tilak Road","Yugandhara Chakankar (MNS)","Rajulaaygude (MNS)",48206,24943,23303,12,55,800000,0,2000000,800000,0,0,3600000,"Vadgaon Khurd, Vadgaon Budruk, dhayari, Abhiruchidhaba, SanasHighschool, Raikar Nagar, Sanas Nagar, Sun City etc."
"Ward 55",55,"Janata Vasahat","Tilak Road","Sangita Kudale (NCP)","Vikas Dangat (NCP)",33860,18587,16158,10,40,400000,400000,2400000,800000,0,400000,4400000,"Sinhgad Technical Institute, Vadgaon Budruk, Ganesh Park, Kirti Nagar, Shivshakti Society, ShevantabaiNamdevDangat School, Vadgaon Water Purification centre, Tukai Nagar,Manik Baug, Jadhav Nagar, Sinhagad Road Telephone Exchange etc."
"Ward 56",56,"Sarasbaug Parvati","Tilak Road","Rahul Tupere (MNS)","Priya Gadade (MNS)",35499,19566,15933,10,43,400000,800000,800000,400000,1600000,0,4000000,"Janata Vasahat, Parvati Devasthan, Pune Mahila Mandal, Parvati Water Purification Centre, Ramkrushna Math, Chandranil Apartment etc."
"Ward 57",57,"Kadakmal Ali Hirabaug","Sahakarnagar","Smita Vaste (BJP)","Ashok Haranaawal (SS)",28266,14351,13915,8,33,800000,800000,800000,800000,800000,0,4000000,"Sarasbaug, Peshave Park, Sanas Sports Ground, Nehru Stadium, Rajarshri Shahu Bus Stand, Swargate Water Centre, Laxminarayan Talkies, Yashvantrao Chavan Garden, Mitramandal Colony, Lakshmi Nagar, etc."
"Ward 58",58,"Mahatma Phule Smarak","Kasba Vishrambagwada","Pratibha Dhamali (BJP)","Ashok Yenpure (BJP)",31214,15660,15554,10,37,1120000,0,1040000,1200000,0,640000,4000000,"Saraswati Mandir Highschool, Telephone Bhavan, Shivaji Maratha High School, Acharya Atre Sabhagruh, Subhash Nagar, Hirabaug Slums, Swargate Police Colony, PMPML Building and Depot, Mamledar Kacheri, Khadak Mal ali etc."
"Ward 59",59,"Kashewadi Gurunanaknagar","Bhawani Peth","Sushila Netake (MNS)","Vishnu Harihar (BJP)",33457,17052,16405,12,36,1600000,1200000,800000,0,400000,0,4000000,"Vijayvallabh School, Timber Market, Central Fire Brigrade, Panchhoud Mission, Savitribai Phule smarak, Mahatma Phule Smarak, etc."
"Ward 60",60,"Mahatma Phule Peth Kashewadi Bhawani Peth","Bhawani Peth","Hina Rafik Momin (NCP)","Avinash Bagwe (INC)",31822,16946,14876,9,34,400000,2000000,400000,800000,400000,0,4000000,"Shankarsheth flyover, HDFC Bank, Poona College, Azam Campus, Balaji Mandir, Bhawani Mata Mandir, Maruti Mandi, Hanuman Mandir, Manmohan Parshwanath Jain Shwetambar Mandir, Yashwantrao Path, Bhawani peth telehpone exchange, Ladkat Petrol Pump, Lakshminaray"
